#name	chrom	strand	exonStarts	exonEnds	score
NM_132651.3	chrX	+	13370994,13373862,13374240,13377857,13378012,13378546,13379432,	13371367,13374103,13374385,13377947,13378275,13379370,13380160,	0
NM_167369.2	chrX	+	13370994,13373862,13374240,13377857,13378012,13378546,13379432,	13371526,13374103,13374385,13377947,13378275,13379370,13380160,	0
NM_001298277.1	chrX	+	13373758,13373862,13374240,13377857,13378012,13378546,13379432,	13373796,13374103,13374385,13377947,13378275,13379370,13380160,	0
NM_001298278.1	chrX	-	13380165,13384299,	13381043,13384877,	0
NM_132652.4	chrX	-	13380704,13384299,	13381043,13384877,	0
NM_001201656.2	chrX	-	13381749,13384299,	13383623,13384877,	0
NM_132653.2	chrX	+	13385209,13385499,13385660,	13385396,13385595,13385893,	0
NM_001298279.1	chrX	+	13385264,13385499,13385660,	13385396,13385595,13385893,	0
NM_001038752.2	chrX	-	13385913,13386814,13387185,	13386748,13387040,13387417,	0
NM_132654.4	chrX	-	13385913,13386588,13386814,13387185,	13386431,13386748,13387040,13387417,	0
NM_132655.3	chrX	+	13387562,	13388844,	0
NM_001298280.1	chrX	+	13387729,	13389332,	0
NR_123896.1	chrX	-	13390234,	13390560,	0
NR_123897.1	chrX	+	13395829,	13396361,	0
NM_132656.2	chrX	+	13396898,13398584,13399330,13399632,13400006,13400229,	13397300,13399004,13399561,13399939,13400161,13401224,	0
NM_132657.2	chrX	-	13401838,	13402863,	0
NM_132658.2	chrX	+	13404748,13408287,13408655,13408862,	13405084,13408574,13408791,13409323,	0
NM_001169268.2	chrX	-	13409368,13409813,13410341,13411351,	13409749,13410268,13410517,13411588,	0
NM_001298281.1	chrX	-	13409368,13409813,13410341,13411351,13412261,13412486,	13409749,13410268,13410517,13411425,13412416,13412868,	0
NM_132659.3	chrX	-	13409368,13409813,13410341,13411351,13412261,13412486,13412981,	13409749,13410268,13410517,13411425,13412416,13412922,13413074,	0
NM_001169269.2	chrX	+	13413241,13413312,13415042,13417590,13420368,13420596,	13413248,13414895,13417519,13420304,13420531,13421024,	0
NM_132660.4	chrX	+	13413241,13417590,13420368,13420596,	13417519,13420304,13420531,13421024,	0
NM_001103502.2	chrX	-	13456533,13457601,	13457506,13457663,	0
NM_132666.3	chrX	+	13528005,13528818,13529058,	13528614,13528988,13529280,	0
NR_123898.1	chrX	-	13528756,	13529149,	0
NM_001298283.1	chrX	-	13529655,	13530249,	0
NM_132667.2	chrX	+	13534399,13534865,13535097,13535644,	13534804,13535032,13535336,13536202,	0
NM_132668.2	chrX	+	13543642,13544493,	13544086,13544907,	0
NM_001272587.1	chrX	-	13552558,13553091,13553410,	13553000,13553264,13554265,	0
NM_001272586.1	chrX	-	13552558,13553091,13553410,13555313,	13553000,13553264,13554266,13555800,	0
NM_132669.2	chrX	-	13552799,13553410,	13553264,13554265,	0
NM_001272585.1	chrX	-	13552799,13553410,13555313,	13553264,13554266,13555800,	0
NM_167372.2	chrX	+	13556471,13556825,	13556719,13557866,	0
NM_001272588.1	chrX	+	13561670,13561965,	13561717,13562874,	0
NM_132670.4	chrX	+	13561670,13561965,	13561717,13563359,	0
NM_001347789.1	chrX	+	13563822,13575901,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13564333,13576182,13577664,13580185,13584397,13585040,13585827,13586054,13590570,	0
NM_001103503.2	chrX	+	13563822,13575901,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13564333,13576182,13577664,13580185,13584397,13585040,13585827,13586054,13590570,	0
NM_001272590.1	chrX	+	13563822,13575901,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13564333,13576182,13577664,13580185,13584397,13585040,13585827,13586054,13591760,	0
NM_001272592.1	chrX	+	13563822,13575901,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13564333,13576376,13577664,13580185,13584397,13585040,13585827,13586054,13591760,	0
NM_001272591.1	chrX	+	13563822,13575901,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13564333,13576182,13577664,13580185,13584397,13585040,13585827,13586092,13593224,	0
NM_001272589.1	chrX	+	13576207,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13576351,13577664,13580185,13584397,13585040,13585827,13586092,13590570,	0
NM_167374.3	chrX	+	13576207,13576611,13580054,13584156,13584860,13585690,13585893,13589921,	13576351,13577664,13580185,13584397,13585040,13585827,13586092,13590570,	0
NM_001258724.2	chrX	-	13593473,13594284,13595003,13595149,13595319,13596378,13597380,13599411,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13599460,13600117,13602506,	0
NM_001298286.1	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,	13594050,13594363,13595084,13595242,13595538,13596748,13599509,	0
NM_167376.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,	13594050,13594363,13595084,13595242,13595538,13596748,13599780,	0
NM_001298285.1	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,13600069,13601367,	13594050,13594363,13595084,13595242,13595538,13596748,13599457,13600117,13601654,	0
NM_001298284.1	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,13600069,13602228,	13594050,13594363,13595084,13595242,13595538,13596748,13599457,13600117,13602365,	0
NM_001169271.2	chrX	-	13593576,13594829,13595003,13595149,13595319,13596375,13597380,13599415,13600069,13602417,	13594050,13594908,13595084,13595242,13595538,13596748,13597404,13599460,13600117,13602506,	0
NM_080349.3	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13597380,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13599460,13600117,13602506,	0
NM_001014737.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596378,13597380,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13599460,13600117,13602506,	0
NM_001169272.2	chrX	-	13593576,13594829,13595003,13595149,13595319,13596375,13599415,13600069,13602417,	13594050,13594908,13595084,13595242,13595538,13596748,13599460,13600117,13602506,	0
NM_001014738.3	chrX	-	13593576,13594284,13595003,13595149,13595319,13596378,13597380,13598173,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13598176,13599457,13600117,13602506,	0
NM_001272594.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13597380,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13599457,13600117,13602506,	0
NM_001272595.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13599457,13600117,13602506,	0
NM_001169270.2	chrX	-	13593576,13594829,13595003,13595149,13595319,13596375,13600069,13602417,	13594050,13594908,13595084,13595242,13595538,13596748,13600117,13602506,	0
NM_001014739.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13600117,13602506,	0
NM_001258723.2	chrX	-	13593576,13594829,13595003,13595149,13595319,13596378,13600069,13602417,	13594050,13594908,13595084,13595242,13595538,13596748,13600117,13602506,	0
NM_167375.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13599460,13600117,13602578,	0
NM_001272593.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596375,13597380,13598173,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13597404,13598176,13599457,13600117,13602578,	0
NM_001169273.2	chrX	-	13593576,13594284,13595003,13595149,13595319,13596378,13598173,13599415,13600069,13602417,	13594050,13594363,13595084,13595242,13595538,13596748,13598176,13599457,13600117,13602578,	0
NR_123899.1	chrX	+	13604358,13604897,13605494,	13604670,13605112,13605651,	0
NM_167377.2	chrX	+	13605680,13605998,13607682,13608151,13608400,	13605771,13607474,13608084,13608332,13609529,	0
NM_132673.3	chrX	+	13606143,13607682,13608151,13608400,	13607474,13608084,13608332,13609529,	0
NM_132674.3	chrX	-	13609670,13611310,13611757,13611879,	13611242,13611695,13611817,13612062,	0
NM_132675.3	chrX	+	13612130,13612260,13612775,	13612201,13612713,13613228,	0
NM_132676.4	chrX	-	13613192,13615675,	13615419,13616403,	0
NM_001298287.1	chrX	-	13613192,13615675,	13615419,13616586,	0
NM_001258725.2	chrX	+	13616988,13617177,13617813,13618101,13618596,	13617106,13617575,13617936,13618402,13619203,	0
NM_001272596.1	chrX	+	13616988,13617369,13617813,13618272,13618596,	13617220,13617575,13617936,13618402,13619207,	0
NM_132677.4	chrX	+	13616988,13617813,13618272,13618596,	13617575,13617936,13618402,13619207,	0
NM_001298288.1	chrX	+	13616988,13617813,13618101,13618596,	13617575,13617936,13618402,13619207,	0
NM_001298289.1	chrX	-	13619275,13619737,13620343,13620592,13620923,13621418,13621618,13622559,13623546,13624163,	13619665,13620272,13620534,13620855,13621356,13621553,13622500,13623470,13624106,13624408,	0
NM_132678.3	chrX	-	13619343,13619737,13620343,13620592,13620923,13621418,13621618,13622559,13623546,13624163,	13619665,13620272,13620534,13620855,13621356,13621553,13622500,13623470,13624106,13624408,	0
NM_001298290.1	chrX	+	13642174,13645177,13649376,13649654,13654783,13655302,13655527,13655850,13660739,13662754,	13642198,13645804,13649501,13650067,13655204,13655459,13655775,13656034,13662686,13663657,	0
NM_001169276.3	chrX	+	13645178,13649376,13649654,13654783,13655302,13655527,13655850,13658107,	13645804,13649501,13650067,13655204,13655459,13655775,13656034,13661942,	0
NM_001103504.2	chrX	+	13645178,13649376,13649654,13652878,13654783,13655302,13655527,13655850,13660739,13662754,	13645804,13649501,13650067,13653505,13655204,13655459,13655775,13656034,13662686,13663657,	0
NM_001169274.2	chrX	+	13645178,13649376,13649654,13654783,13655302,13655527,13655850,13660739,13662754,	13645804,13649501,13650067,13655204,13655459,13655775,13656034,13662686,13664568,	0
NM_132679.3	chrX	-	13664583,13666225,13667195,13667427,	13666163,13667136,13667360,13667811,	0
NM_132680.3	chrX	+	13668013,13668519,	13668447,13669294,	0
NM_001298291.1	chrX	+	13668013,13668519,	13668447,13669573,	0
NM_132681.2	chrX	+	13669698,13670131,13671300,13672235,13672486,13673095,13673244,	13669744,13670649,13671446,13672428,13672579,13673180,13674475,	0
NM_001298292.1	chrX	+	13669698,13670128,13671300,13672235,13672486,13673244,	13669744,13670649,13671446,13672428,13673180,13674475,	0
NM_001272598.1	chrX	+	13669698,13670128,13671300,13672235,13672486,13673244,	13669744,13670649,13671446,13672428,13673180,13676232,	0
NM_132682.2	chrX	+	13676893,13677700,	13677630,13677882,	0
NM_132683.2	chrX	-	13677898,13678854,13679895,	13678753,13679301,13680398,	0
NM_001298293.1	chrX	-	13678296,13678854,13679895,	13678753,13679301,13680201,	0
NM_001298294.1	chrX	-	13678296,13678854,13679895,	13678753,13679301,13680500,	0
NM_132684.3	chrX	+	13682951,13683245,	13683188,13684616,	0
NM_167378.2	chrX	-	13684379,13686568,13688071,13688257,13701096,13718128,	13686502,13688002,13688161,13688571,13701353,13718285,	0
NM_001298295.1	chrX	-	13684552,13686568,13688071,13688257,13701096,13718010,	13686502,13688002,13688161,13688571,13701353,13718285,	0
NM_132685.2	chrX	-	13684552,13686568,13688071,13688257,13701096,13707595,13718128,	13686502,13688002,13688161,13688571,13701353,13707714,13718285,	0
NM_001258726.1	chrX	+	13692291,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,	13692653,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_001298298.1	chrX	+	13692291,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,13714619,13714823,13715762,13716375,13716837,	13692653,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13713492,13714735,13714959,13716316,13716774,13717835,	0
NM_001298297.1	chrX	+	13692291,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,13714619,13714823,13715032,13715753,13716378,13716837,	13692653,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13713492,13714735,13714959,13715611,13716316,13716774,13717835,	0
NM_001298296.1	chrX	+	13692291,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,13714619,13714823,13715032,13715753,13716375,13716837,	13692653,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13713492,13714735,13714959,13715611,13716316,13716774,13717835,	0
NM_001258728.1	chrX	+	13696661,13706147,13709404,13711510,13712096,13712628,13712981,13713200,13713423,	13697243,13706326,13709557,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_167379.2	chrX	+	13696661,13706147,13709404,13709828,13711510,13712096,13712628,13712981,13713200,13713423,	13697243,13706326,13709557,13710395,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_132686.3	chrX	+	13696661,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,	13697243,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_001103505.3	chrX	+	13700265,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,	13700662,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_176726.2	chrX	+	13703536,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,	13704022,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_001258727.1	chrX	+	13705720,13706147,13709404,13709828,13711103,13712096,13712628,13712981,13713200,13713423,	13705890,13706326,13709557,13710780,13711893,13712370,13712909,13713141,13713359,13714435,	0
NM_132687.2	chrX	-	13718733,13719410,13720417,	13719345,13720351,13721977,	0
NM_080170.4	chrX	+	13722245,	13727113,	0
NM_001272600.1	chrX	-	13727203,13728684,13728879,13729083,13729759,13730495,13731548,13733084,13733311,13733495,13733706,13734642,13735530,	13728614,13728817,13729023,13729693,13730436,13730644,13731622,13733224,13733441,13733636,13733835,13734738,13735689,	0
NM_001272599.1	chrX	-	13727203,13728684,13728882,13729083,13729759,13730495,13732625,13733084,13733311,13733495,13733706,13734642,13735941,	13728614,13728817,13729023,13729693,13730436,13730644,13732699,13733224,13733441,13733636,13733835,13734738,13736257,	0
NM_080046.3	chrX	-	13727521,13728684,13728879,13729083,13729759,13730495,13731548,13733084,13733311,13733495,13733706,13734642,13735941,	13728614,13728817,13729023,13729693,13730436,13730644,13731622,13733224,13733441,13733636,13733835,13734738,13736278,	0
NM_080180.4	chrX	-	13736569,13741655,13742048,13742315,13744283,	13737806,13741977,13742241,13743734,13744683,	0
NM_001272601.1	chrX	+	13737941,13738173,13738439,13738985,	13737988,13738376,13738910,13739177,	0
NM_132688.4	chrX	+	13738138,13738439,13738985,	13738376,13738910,13739177,	0
NM_132689.3	chrX	+	13739743,13739948,13740677,	13739860,13740112,13741101,	0
NM_001272602.1	chrX	+	13739781,13740677,13741683,	13740112,13741143,13741952,	0
NR_037726.1	chrX	+	13744927,13745016,	13744944,13745476,	0
NR_123900.1	chrX	+	13744939,13745023,	13744969,13745476,	0
NR_037727.2	chrX	+	13744939,	13745476,	0
NM_001272603.1	chrX	-	13745576,13750315,13750585,13754829,	13746848,13750455,13752022,13755406,	0
NM_001103507.3	chrX	-	13745576,13750315,13750585,13754829,13755252,	13746848,13750455,13752027,13755061,13755406,	0
NM_001272604.1	chrX	-	13745576,13750315,13750585,13755252,	13746848,13750455,13752027,13755406,	0
NM_132690.4	chrX	-	13746639,13750315,13750585,13754829,	13746848,13750455,13752027,13755406,	0
NR_073655.1	chrX	+	13755321,13755849,	13755470,13756013,	0
NM_167381.3	chrX	-	13756163,13756583,	13756515,13756826,	0
NM_132691.4	chrX	+	13757178,13758149,13758359,	13758083,13758306,13758598,	0
NM_078593.4	chrX	+	13759545,13759868,13760323,	13759806,13760251,13761167,	0
NM_001298299.1	chrX	+	13759545,13759868,13760323,	13759806,13760251,13761547,	0
NM_001298300.1	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13774685,	13762830,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13774943,	0
NM_001272606.1	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13770765,13771127,13771276,13772557,13772785,13773805,13774685,	13762945,13768157,13768803,13769060,13769554,13770142,13770804,13771203,13772485,13772695,13773753,13773978,13774943,	0
NM_001169277.2	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,	13762830,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13775189,	0
NM_001169279.3	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13775432,	13762830,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772656,13773753,13773978,13775867,	0
NM_001169278.3	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13775432,	13762830,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13775867,	0
NM_001169280.3	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13770765,13771127,13771276,13772557,13772785,13773805,13775432,	13762830,13768157,13768803,13769060,13769554,13770142,13770804,13771203,13772485,13772695,13773753,13773978,13775867,	0
NM_001014740.2	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13776675,	13762830,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13779488,	0
NM_167382.3	chrX	+	13762751,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13776675,	13762868,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13779488,	0
NM_001014741.3	chrX	+	13762751,13763068,13767786,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13776675,	13762868,13763088,13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13779488,	0
NM_001272605.2	chrX	+	13762751,13763068,13767786,13768658,13768868,13769143,13769810,13770765,13771127,13771276,13772557,13772785,13773805,13775972,13776675,	13762868,13763111,13768157,13768803,13769060,13769554,13770142,13770804,13771203,13772485,13772695,13773753,13773978,13776380,13779488,	0
NM_078594.3	chrX	+	13767663,13768658,13768868,13769143,13769810,13771127,13771276,13772557,13772785,13773805,13775432,	13768157,13768803,13769060,13769554,13770142,13771203,13772485,13772695,13773753,13773978,13775867,	0
NM_001272607.2	chrX	-	13779846,13781158,13781472,13781809,	13780650,13781326,13781733,13782170,	0
NM_132692.3	chrX	-	13780015,13781158,13781472,13781809,	13780650,13781326,13781733,13782170,	0
NM_001038753.2	chrX	+	13782458,	13783381,	0
NM_176728.3	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13805451,13806531,	13784276,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13805643,13807627,	0
NM_176727.3	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13805451,13806531,13808369,	13784189,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13805475,13806664,13811493,	0
NM_001298301.1	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13806531,13809280,	13784276,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13806664,13811493,	0
NM_001298302.1	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13806531,13808369,	13784276,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13806664,13811493,	0
NM_001144723.2	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13805451,13806531,13809280,	13784276,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13805475,13806664,13811493,	0
NM_001144724.2	chrX	+	13783713,13785706,13801678,13801901,13802066,13802236,13802591,13802847,13803325,13803908,13804122,13804293,13805451,13806531,13808369,13808793,	13784276,13785952,13801773,13802008,13802171,13802338,13802769,13803267,13803850,13804050,13804227,13804421,13805475,13806664,13808494,13811493,	0
NM_132695.2	chrX	-	13790337,13790766,	13790707,13791111,	0
NM_132696.2	chrX	-	13796388,	13797638,	0
NM_132699.3	chrX	+	13811683,13812111,	13812045,13812870,	0
NM_132700.4	chrX	-	13812970,13813874,13814376,13821924,	13813805,13813985,13814886,13822307,	0
NM_001272608.2	chrX	-	13813460,13813874,13814376,13821924,	13813805,13813985,13814886,13822307,	0
NM_132701.4	chrX	+	13822825,13823150,13823410,13824287,13825000,	13823087,13823331,13824214,13824916,13825910,	0
NM_001298303.1	chrX	-	13826040,13826786,13827042,13827339,13827578,13828641,	13826717,13826952,13827105,13827509,13827719,13830317,	0
NM_132702.5	chrX	-	13826329,13826786,13827042,13827339,13827578,13828223,13828641,	13826717,13826952,13827105,13827509,13827719,13828253,13830317,	0
NM_001201658.2	chrX	-	13826329,13826786,13827042,13827339,13827578,13828641,	13826717,13826952,13827120,13827509,13827719,13830317,	0
NM_001201657.2	chrX	-	13826329,13826786,13827042,13827339,13827578,13828641,	13826717,13826952,13827105,13827509,13827719,13830317,	0
NM_001258730.2	chrX	-	13830740,13831167,13831339,13831701,13832216,13832745,13832903,13837612,13845351,	13831100,13831278,13831634,13832156,13832673,13832840,13835149,13837757,13845866,	0
NM_132703.3	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13835377,	13831100,13831278,13831634,13832156,13832673,13832840,13833031,13835149,13836365,	0
NM_001201659.1	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834170,13834814,13837612,13837851,	13831100,13831278,13831634,13832156,13832673,13832840,13833031,13834206,13835149,13837757,13838098,	0
NM_001298305.1	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834170,13834814,13837612,13837851,	13831100,13831278,13831634,13832156,13832673,13832840,13833022,13834206,13835149,13837757,13838098,	0
NM_001258731.2	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13837612,13837851,	13831100,13831278,13831634,13832156,13832673,13832840,13833031,13835149,13837757,13838098,	0
NM_167386.2	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13837612,13837851,	13831100,13831278,13831634,13832156,13832673,13832840,13833022,13835149,13837757,13838098,	0
NM_167385.4	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13837612,13839561,	13831100,13831278,13831634,13832156,13832673,13832840,13833022,13835149,13837757,13840011,	0
NM_001298304.1	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13837612,13839565,	13831100,13831278,13831634,13832156,13832673,13832840,13833022,13835149,13837757,13840011,	0
NM_167384.3	chrX	-	13830748,13831167,13831339,13831701,13832216,13832745,13832903,13834814,13837612,13845351,	13831100,13831278,13831634,13832156,13832673,13832840,13833022,13835149,13837757,13845866,	0
NM_132708.4	chrX	+	13955235,13955744,	13955675,13956574,	0
NR_123901.1	chrX	+	13990732,	13991420,	0
NM_001169281.2	chrX	+	13996344,13998094,	13996523,13998767,	0
NM_078595.3	chrX	+	13996344,13998094,	13996523,13999805,	0
NM_001258734.2	chrX	+	13996344,13996615,13998094,	13996523,13996728,13999805,	0
NM_001272612.2	chrX	+	13996656,13998094,	13996755,13999805,	0
NM_001272611.2	chrX	+	13996656,13998094,	13996797,13999805,	0
NM_167390.3	chrX	+	14000209,14000277,14000838,	14000220,14000778,14000889,	0
NM_206698.2	chrX	-	14046771,14046896,14047454,	14046836,14047397,14047495,	0
NM_206699.2	chrX	-	14048010,14048135,14048693,	14048075,14048636,14048734,	0
NM_206700.2	chrX	-	14049279,14049404,14049962,	14049344,14049905,14050003,	0
NM_206701.2	chrX	-	14050548,14050673,14051231,	14050613,14051174,14051272,	0
NM_206702.2	chrX	-	14051817,14051942,14052500,	14051882,14052443,14052541,	0
NM_206703.2	chrX	-	14053086,14053211,14053770,	14053151,14053709,14053811,	0
NM_206704.2	chrX	-	14054356,14054481,14055039,	14054421,14054982,14055080,	0
NM_206705.2	chrX	-	14055625,14055750,14056308,	14055690,14056251,14056349,	0
NM_206706.3	chrX	-	14056894,14057019,14057577,	14056959,14057520,14057618,	0
NM_206707.3	chrX	-	14058163,14058288,14058843,	14058228,14058785,14058889,	0
NM_206708.2	chrX	-	14059433,14059558,14060116,	14059498,14060059,14060157,	0
NM_206709.3	chrX	-	14060701,14060826,14061384,	14060766,14061327,14061817,	0
NR_133523.1	chrX	+	14097598,	14097965,	0
NR_123902.1	chrX	+	14114140,14114990,	14114737,14116889,	0
NR_123903.1	chrX	+	14141728,	14142111,	0
NM_144227.2	chrX	-	14151578,	14152006,	0
NM_001258735.2	chrX	+	14169591,14169717,	14169615,14171545,	0
NM_132709.3	chrX	+	14169591,	14171545,	0
NM_132710.3	chrX	-	14171486,14172541,	14172487,14172624,	0
NM_132711.2	chrX	+	14174755,14174970,	14174829,14175670,	0
NM_132712.2	chrX	+	14176922,	14178018,	0
NM_001298306.1	chrX	+	14176922,	14178456,	0
NM_132713.3	chrX	+	14181027,14181191,	14181100,14183315,	0
NR_133524.1	chrX	-	14181112,	14182716,	0
NM_167394.3	chrX	+	14184560,14184701,	14184598,14185807,	0
NM_001038754.2	chrX	+	14187252,	14187841,	0
NM_132715.3	chrX	+	14189515,14189644,	14189569,14190755,	0
NM_001298307.1	chrX	-	14191219,14191878,	14191724,14191962,	0
NM_132716.3	chrX	-	14191219,14191878,	14191724,14192018,	0
NM_206710.2	chrX	+	14193213,14194012,14194497,14197109,14199621,	14193751,14194426,14197047,14199544,14199958,	0
NM_078596.3	chrX	+	14193213,14194012,14194497,14197109,	14193751,14194426,14197047,14199958,	0
NR_047804.1	chrX	+	14199544,	14199621,	0
NM_132717.2	chrX	+	14200177,	14200907,	0
NM_132719.3	chrX	+	14201361,14203440,14222906,14224024,	14203284,14203634,14223961,14224732,	0
NM_001272614.1	chrX	-	14203960,14206596,14210433,	14206466,14206775,14211457,	0
NM_001103510.2	chrX	-	14203960,14206361,14206596,14210433,	14205381,14206466,14206775,14211457,	0
NM_167395.2	chrX	-	14205908,14206596,14210433,	14206466,14206775,14211457,	0
NM_167396.2	chrX	+	14212414,14222906,14224024,	14212597,14223961,14224732,	0
NM_132720.2	chrX	-	14224646,14225331,	14225270,14225879,	0
NM_078597.3	chrX	+	14226288,14226561,14226783,14227196,14227565,	14226490,14226717,14227141,14227495,14227949,	0
NM_206711.3	chrX	-	14228059,14228503,14229298,14230691,14231650,14232740,14233104,14233420,14233771,	14228439,14229237,14230628,14231241,14232166,14233040,14233263,14233559,14234066,	0
NM_206712.2	chrX	-	14232281,14233104,14233420,14233771,	14233040,14233263,14233559,14234066,	0
NM_132723.3	chrX	-	14234412,14234824,14234958,14235211,14235443,14235660,14235832,14236506,14236845,14236993,	14234762,14234894,14235150,14235377,14235608,14235770,14236441,14236714,14236939,14237923,	0
NM_001298308.1	chrX	+	14237987,14238642,14239672,	14238581,14239605,14240152,	0
NM_132722.3	chrX	+	14238314,14238642,14239672,	14238581,14239605,14240152,	0
NM_132724.3	chrX	-	14240265,14240587,14240851,14241179,14241380,14242377,	14240520,14240784,14241125,14241318,14242313,14242822,	0
NR_167855.1	chrX	-	14243301,14252437,	14252311,14259236,	0
NR_167856.1	chrX	-	14243301,14252689,	14252311,14259236,	0
NR_167853.1	chrX	-	14243301,14253180,	14252112,14259236,	0
NM_167398.2	chrX	+	14243685,14245247,14245618,14245829,	14244035,14245299,14245764,14246514,	0
